@relation HumVar-Model_3

@attribute BCharge numeric
@attribute Binding numeric
@attribute CPhim numeric
@attribute CisPro numeric
@attribute Clash numeric
@attribute Glycine numeric
@attribute HBonds numeric
@attribute Impact numeric
@attribute Interface numeric
@attribute MLargest1 numeric
@attribute MLargest10 numeric
@attribute MLargest2 numeric
@attribute MLargest3 numeric
@attribute MLargest4 numeric
@attribute MLargest5 numeric
@attribute MLargest6 numeric
@attribute MLargest7 numeric
@attribute MLargest8 numeric
@attribute MLargest9 numeric
@attribute NLargest1 numeric
@attribute NLargest10 numeric
@attribute NLargest2 numeric
@attribute NLargest3 numeric
@attribute NLargest4 numeric
@attribute NLargest5 numeric
@attribute NLargest6 numeric
@attribute NLargest9 numeric
@attribute Proline numeric
@attribute Relaccess numeric
@attribute SPhobic numeric
@attribute SProtFT10 numeric
@attribute SProtFT11 numeric
@attribute SProtFT12 numeric
@attribute SProtFT2 numeric
@attribute SProtFT4 numeric
@attribute SProtFT5 numeric
@attribute SProtFT6 numeric
@attribute SProtFT7 numeric
@attribute SProtFT8 numeric
@attribute SProtFT9 numeric
@attribute SSGeom numeric
@attribute Voids numeric
@attribute dataset {PD,SNP}

@data
0.5,0,0,0,3.85546504768224e-07,0,0.990344144590245,1,1,0.0126328769696972,0.0861514118647798,0.0514147798424933,0.0521344525795794,0.0586076247570977,0.0799740038706944,0.0936232841738504,0.0897080642909948,0.0969824557378084,0.0980727119799295,0.0126328769696972,0.084453407034633,0.0521344525795794,0.0586076247570977,0.0713537445258514,0.0907191548013297,0.0888478049289165,0.0840117754542686,0,0.0376471417909132,0.952569169960474,0,0,0,1,0,0,0,0,0,0,1,0.425135275863582,PD
0.75,0,0.347826086956522,0,7.80910165907862e-07,0.942683992169503,0.990344144590245,0.375123598077964,1,0.0315219182591175,0.189464104074094,0.136920739033129,0.167847928719025,0.162474147905867,0.152707511229682,0.163404147590012,0.180685301887475,0.19241612913403,0.194579230534971,0.0315219182591175,0.179466865924252,0.180909172668691,0.201615747748639,0.199954188544573,0.176829382378805,0.152666498661754,0.184758617689285,0,0.49672365258376,1,0,0,0,0,0,0,0,0,0,0,0,0.425135275863582,SNP
0.25,0,0,0,3.3601448853064e-07,0,0.990344144590245,0.718641273770207,1,0.0315219182591175,0.177873547834467,0.136920739033129,0.167847928719025,0.162474147905867,0.152707511229682,0.150767428588592,0.180685301887475,0.19241612913403,0.184758617689285,0.0315219182591175,0.179466865924252,0.180909172668691,0.201615747748639,0.199954188544573,0.176829382378805,0.152666498661754,0.184758617689285,0,0.454422040562063,0.968379446640316,0,0,0,0,0,0,0,0,0,0,0,0.425135275863582,PD
0.5,0,0.173913043478261,0,2.95555904696937e-07,0,0.990344144590245,0.383839761089856,1,0.0391726209456252,0.164358667784975,0.126157865861009,0.151459069026085,0.118870824781046,0.160768465689777,0.168836434943424,0.188946560307703,0.200788158124941,0.17481618979944,0.0391726209456252,0.168255625875878,0.166688518479591,0.18192976039713,0.146292315528802,0.186163655376146,0.170963102645208,0.17481618979944,0,0.0703224631080342,1,0,0,0,0,0,0,0,0,0,0,0,0.425135275863582,SNP
0.5,0,0,0,1.32412615179272e-06,0,0.990344144590245,1,1,0.0302505744054431,0.150778354777498,0.126966475503474,0.122764207380567,0.121839666906586,0.152833183125496,0.150718083166346,0.155239798793381,0.165748391704263,0.162959525501399,0.0302505744054431,0.152128965270963,0.167756909597425,0.147462036956293,0.149946019368955,0.176974905565846,0.152616531683409,0.162959525501399,0,0.00882703824070428,0.885375494071146,0,0,0,0,0,0,0,0,0,0,0,0.425135275863582,PD
0,0,0,0,2.92134774446293e-07,0,0.990344144590245,0.64297069579851,1,0.00584585896639215,0.0482776260922843,0.0232520377209017,0.0248969804406409,0.0269200182738025,0.0357267246672388,0.040954555011564,0.0452223767402667,0.0497675392429896,0.0496454312107545,0.00584585896639215,0.0487100772123144,0.0307222042230705,0.0299057805868181,0.0331300116290618,0.0413701631730707,0.0414704195488199,0.0496454312107545,0,0.296963428322921,0.873517786561265,0,0,0,0,0,0,0,0,0,0,0,0.425135275863582,SNP
0.5,0,0.0316205533596838,0,2.96448373457975e-07,0,0.990344144590245,1,1,0.0326962354079554,0.169852062030444,0.168973172365888,0.125487196101781,0.139426249458229,0.151086343773676,0.166000145890814,0.16837354536196,0.165060043996891,0.166915614078339,0.0326962354079554,0.170494272844852,0.223259069676221,0.139426249458229,0.134801008492739,0.160850936441709,0.142683965379401,0.165633655756486,0,0.0327517204496971,1,0,0,0,0,0,0,0,0,0,0,0,0.425135275863582,SNP
0.5,0,0,0,3.63086040948779e-07,0,0.990344144590245,1,0.975870423844137,0.0326177319831332,0.148613118713231,0.146880743199191,0.182920261831673,0.19851935344059,0.196186396555872,0.205969937910586,0.162371467122983,0.171487490714476,0.147953072204417,0.0326177319831332,0.149944333912501,0.194069020666758,0.219720348347614,0.244314413949748,0.227176247289631,0.20856434008829,0.147953072204417,0,0.366986171757004,1,0,0,0,0,0,0,0,0,0,0,0,0.425135275863582,SNP
0.5,0,0,0,3.23222436289102e-07,0,0.990344144590245,1,1,0.0222182333465789,0.193633968033026,0.118299754710807,0.133013610609362,0.133167081645111,0.171840159711026,0.166073091297613,0.180002895059271,0.193514617350378,0.189523906202416,0.0222182333465789,0.195368461485369,0.1376284967867,0.159773425674172,0.163886477291294,0.198984248154454,0.168164951857903,0.189523906202416,0,0.250512755716712,0.762845849802372,0,0,0,0,0,0,0,0,0,0,0,0.425135275863582,PD
0.5,0,0,0,3.51632691848797e-07,0,0.990344144590245,1,0.595134256032394,0.0450921320015977,0.216330281778111,0.213672227703163,0.177051695610386,0.187381965422946,0.181139880001293,0.191910783476578,0.21006756861549,0.231927287537178,0.232800150818626,0.0450921320015977,0.218268079474968,0.282318560424236,0.21267113793467,0.230607818701966,0.209752963995485,0.194328096214676,0.232800150818626,0,0.10994422863322,0.762845849802372,0,0,0,0,0,0,0,0,0,0,0,0.425135275863582,SNP
